ISO 639-3	ISO 639-2B	ISO 639-2T	ISO 639-1	type	macro
fuc				I	ful
fud				I	
fue				I	ful
fuf				I	ful
fuh				I	ful
fui				I	ful
fuj				I	
ful	ful	ful	ff	M	
fum				I	
fun				I	
fuq				I	ful
fur	fur	fur		I	
fut				I	
fuu				I	
fuv				I	ful
fuy				I	
fvr				I	
fwa				I	
fwe				I	
gaa	gaa	gaa		I	
gab				I	
gac				I	
gad				I	
gae				I	
gaf				I	
gag				I	
gah				I	
gai				I	
gaj				I	
gak				I	
gal				I	
gam				I	
gan				I	zho
gao				I	
gap				I	
gaq				I	
gar				I	
gas				I	
gat				I	
gau				I	
gaw				I	
gax				I	orm
gay	gay	gay		I	
gaz				I	orm
gba	gba	gba		M	
gbb				I	
gbd				I	
gbe				I	
gbf				I	
gbg				I	
gbh				I	
gbi				I	
gbj				I	
gbk				I	
gbl				I	
gbm				I	
gbn				I	
gbo				I	grb
gbp				I	gba
gbq				I	gba
gbr				I	
gbs				I	
gbu				I	
gbv				I	
gbw				I	
gbx				I	
gby				I	
gbz				I	
gcc				I	
gcf				I	
gcl				I	
gcn				I	
gcr				I	
gct				I	
gda				I	raj
gdb				I	
gdd				I	
gde				I	
gdf				I	
gdg				I	
gdh				I	
gdi				I	
gdj				I	
gdk				I	
gdl				I	
gdm				I	
gdn				I	
gdo				I	
gdq				I	
gdr				I	
gds				I	
gdu				I	
gdx				I	
gea				I	
geb				I	
gec				I	grb
ged				I	
geg				I	
geh				I	
gei				I	
gej				I	
gek				I	
gel				I	
geq				I	
ges				I	
gev				I	
gew				I	
gex				I	
gey				I	
gfk				I	
gga				I	
ggb				I	
gge				I	
ggg				I	
ggl				I	
ggn				I	
ggo				I	gon
ggt				I	
ggu				I	
ggw				I	
gha				I	
ghe				I	
ghh				I	
ghk				I	
ghl				I	
ghn				I	
ghr				I	
ghs				I	
ght				I	
gia				I	
gib				I	
gic				I	
gid				I	
gig				I	
gih				I	
gil	gil	gil		I	
gim				I	
gin				I	
gip				I	
giq				I	
gir				I	
gis				I	
git				I	
giu				I	
giw				I	
gix				I	
giy				I	
giz				I	
gji				I	
gjk				I	
gjn				I	
gju				I	raj
gka				I	
gke				I	
gkn				I	
gkp				I	kpe
gla	gla	gla	gd	I	
glc				I	
gld				I	
gle	gle	gle	ga	I	
glg	glg	glg	gl	I	
glh				I	
glj				I	
glk				I	
glo				I	
glr				I	
glu				I	
glv	glv	glv	gv	I	
glw				I	
gmb				I	
gmd				I	
gmg				I	
gmm				I	gba
gmn				I	
gmu				I	
gmv				I	
gmx				I	
gmz				I	
gna				I	
gnb				I	
gnd				I	
gne				I	
gng				I	
gnh				I	
gni				I	
gnk				I	
gnm				I	
gnn				I	
gno				I	gon
gnq				I	
gnt				I	
gnu				I	
gnw				I	grn
gnz				I	
goa				I	
gob				I	
goc				I	
god				I	
goe				I	
